Timestamp,SourceIP,DestinationIP,SourcePort,DestinationPort,Protocol,PacketLength,Direction,TCPFlags,ApplicationGuess,TrafficCategory,ConnectionStatus,GeographicRegion,BytesPerSecond,SecurityLevel
"2025-10-22 12:20:52.299","40.96.147.153","192.168.29.3",3000,53886,"TCP",182,"Incoming","ACK","Dynamic/Private","Other","Active","Local Network",546,"Low"
"2025-10-22 12:20:54.411","13.107.42.14","192.168.29.3",80,57428,"UDP",717,"Incoming","","Dynamic/Private","Other","Unknown","Local Network",7170,"Low"
"2025-10-22 12:20:55.463","192.168.29.3","8.8.8.8",52996,9000,"TCP",275,"Outgoing","ACK","Dynamic/Private","Development","Active","Local Network",1925,"Medium"
"2025-10-22 12:20:56.524","52.84.223.92","192.168.29.3",443,55407,"TCP",1242,"Incoming","ACK","Dynamic/Private","Other","Active","Local Network",1242,"Low"
"2025-10-22 12:20:58.673","127.0.0.1","127.0.0.1",52777,8443,"TCP",268,"Outgoing","ACK PSH","HTTPS-Alt","Web Traffic","Unknown","Localhost",1608,"High"
"2025-10-22 12:21:02.912","127.0.0.1","127.0.0.1",53090,5000,"TCP",540,"Outgoing","ACK PSH","Dynamic/Private","Development","Unknown","Localhost",2700,"Medium"
"2025-10-22 12:21:05.004","192.168.29.3","8.8.8.8",53054,143,"TCP",98,"Outgoing","SYN","IMAP","Email","Initiating","Local Network",490,"Medium"
"2025-10-22 12:21:06.081","127.0.0.1","127.0.0.1",58234,9000,"TCP",369,"Outgoing","ACK PSH","Dynamic/Private","Development","Unknown","Localhost",369,"Medium"
"2025-10-22 12:21:08.194","127.0.0.1","127.0.0.1",59753,8443,"TCP",373,"Outgoing","ACK PSH","HTTPS-Alt","Web Traffic","Unknown","Localhost",2984,"High"
"2025-10-22 12:21:09.293","127.0.0.1","127.0.0.1",54348,8443,"TCP",185,"Outgoing","ACK PSH","HTTPS-Alt","Web Traffic","Unknown","Localhost",1110,"High"
"2025-10-22 12:21:10.323","172.217.164.110","192.168.29.3",8443,58217,"TCP",555,"Incoming","ACK","Dynamic/Private","Other","Active","Local Network",555,"Low"
"2025-10-22 12:21:10.346","127.0.0.1","127.0.0.1",56985,5000,"TCP",368,"Outgoing","ACK PSH","Dynamic/Private","Development","Unknown","Localhost",368,"Medium"
"2025-10-22 12:21:15.608","127.0.0.1","127.0.0.1",54852,4000,"TCP",534,"Outgoing","ACK PSH","Dynamic/Private","Development","Unknown","Localhost",4806,"Medium"
"2025-10-22 12:21:17.705","192.168.29.3","172.217.164.110",56577,1433,"TCP",406,"Outgoing","ACK","MSSQL","Database","Active","Local Network",406,"High"
"2025-10-22 12:21:18.753","192.168.29.3","13.107.42.14",58562,8443,"TCP",1201,"Outgoing","ACK","HTTPS-Alt","Web Traffic","Active","Local Network",4804,"High"
"2025-10-22 12:21:18.777","127.0.0.1","127.0.0.1",55784,5000,"TCP",106,"Outgoing","ACK PSH","Dynamic/Private","Development","Unknown","Localhost",318,"Medium"
"2025-10-22 12:21:22.979","192.168.29.3","31.13.64.35",51930,3001,"TCP",182,"Outgoing","SYN ACK","Dynamic/Private","Development","Establishing","Local Network",1092,"Medium"
"2025-10-22 12:21:24.055","127.0.0.1","127.0.0.1",58213,8080,"TCP",348,"Outgoing","ACK PSH","HTTP-Alt","Web Traffic","Unknown","Localhost",696,"Medium"
"2025-10-22 12:21:25.091","104.16.249.249","192.168.29.3",143,59946,"UDP",164,"Incoming","","Dynamic/Private","Other","Unknown","Local Network",1148,"Low"
"2025-10-22 12:21:25.113","127.0.0.1","127.0.0.1",53992,8443,"TCP",442,"Outgoing","ACK PSH","HTTPS-Alt","Web Traffic","Unknown","Localhost",1326,"High"
"2025-10-22 12:21:27.233","127.0.0.1","127.0.0.1",56318,5000,"TCP",557,"Outgoing","ACK PSH","Dynamic/Private","Development","Unknown","Localhost",557,"Medium"
"2025-10-22 12:21:28.265","192.168.29.3","8.8.8.8",54854,80,"TCP",827,"Outgoing","ACK","HTTP","Web Traffic","Active","Local Network",4962,"Medium"
"2025-10-22 12:21:31.430","192.168.29.3","31.13.64.35",54861,4000,"TCP",54,"Outgoing","PSH ACK","Dynamic/Private","Development","Active","Local Network",270,"Medium"
"2025-10-22 12:21:32.476","192.168.29.3","8.8.8.8",57457,8080,"TCP",784,"Outgoing","ACK","HTTP-Alt","Web Traffic","Active","Local Network",7056,"Medium"
"2025-10-22 12:21:36.714","127.0.0.1","127.0.0.1",58266,8080,"TCP",257,"Outgoing","ACK PSH","HTTP-Alt","Web Traffic","Unknown","Localhost",257,"Medium"
"2025-10-22 12:21:37.747","192.168.29.3","1.1.1.1",58600,8080,"TCP",713,"Outgoing","ACK","HTTP-Alt","Web Traffic","Active","Local Network",713,"Medium"
